id,initial,match,type
5125,Panipat,Panipat,cityname
5126,Pavlodar,Pavlodar,cityname
5127,Mathura,Mathura,cityname
5128,Bina,Bina,cityname
5130,Cauvery Basin,CauveryBasin,cityname
5130,Cauvery Basin,Cauvery Basin,cityname
5131,Sapugaskanda,Sapugaskanda,cityname
5132,Kochi,Kochi,cityname
5134,Manali,Manali,cityname
5135,Puerto Limon,PuertoLimon,cityname
5135,Puerto Limon,Puerto Limon,cityname
5136,Tatipaka,Tatipaka,cityname
5137,Visakh,Visakh,cityname
5138,Dushanzi,Dushanzi,cityname
5139,Karamay,Karamay,cityname
5140,Komsomolsk-on-Amur,KomsomolskonAmur,cityname
5140,Komsomolsk-on-Amur,Komsomolskon,cityname
5140,Komsomolsk-on-Amur,Komsomolsk on Amur,cityname
5140,Komsomolsk-on-Amur,Komsomolsk-on-Amur,cityname
5142,Barauni,Barauni,cityname
5143,Paradip,Paradip,cityname
5144,Urumqi,Urumqi,cityname
5145,Haldia,Haldia,cityname
5146,Achinsk,Achinsk,cityname
5147,Bongaigaon,Bongaigaon,cityname
5148,Guwahati,Guwahati,cityname
5149,Chittagong,Chittagong,cityname
5150,Numaligarh,Numaligarh,cityname
5151,Chauk,Chauk,cityname
5152,Thanpayarkan,Thanpayarkan,cityname
5153,Digboi,Digboi,cityname
5156,Bangkok,Bangkok,cityname
5157,Chon Buri,ChonBuri,cityname
5157,Chon Buri,Chon Buri,cityname
5159,"Map Ta
  Phut","Map Ta
  Phut",cityname
5160,Rayong,Rayong,cityname
5162,Rayong,Rayong,cityname
5163,Dumai,Dumai,cityname
5164,Port Dickson,PortDickson,cityname
5164,Port Dickson,Port Dickson,cityname
5165,Port Dickson,PortDickson,cityname
5165,Port Dickson,Port Dickson,cityname
5166,Melaka,Melaka,cityname
5167,Kertih,Kertih,cityname
5168,Lanzhou,Lanzhou,cityname
5169,Jurong,Jurong,cityname
5170,Pulau Merlimau,PulauMerlimau,cityname
5170,Pulau Merlimau,Pulau Merlimau,cityname
5171,Pulau Bukom,PulauBukom,cityname
5171,Pulau Bukom,Pulau Bukom,cityname
5172,Angarsk,Angarsk,cityname
5173,Plaju,Plaju,cityname
5175,Balongan,Balongan,cityname
5176,Qinzhou,Qinzhou,cityname
5177,Quang Ngai,QuangNgai,cityname
5177,Quang Ngai,Quang Ngai,cityname
5178,Cilacap,Cilacap,cityname
5179,Beihai,Beihai,cityname
5180,Yangpu,Yangpu,cityname
5182,Hainan,Hainan,cityname
5183,Maoming,Maoming,cityname
5185,Tuban,Tuban,cityname
5186,Jingmen,Jingmen,cityname
5187,Yueyang,Yueyang,cityname
5188,Guangzhou,Guangzhou,cityname
5190,Wuhan,Wuhan,cityname
5191,Huizhou,Huizhou,cityname
5192,Kwinana,Kwinana,cityname
5193,Jiujiang,Jiujiang,cityname
5194,Zhanjiang Dongxing,ZhanjiangDongxing,cityname
5194,Zhanjiang Dongxing,Zhanjiang Dongxing,cityname
5195,Balikpapan,Balikpapan,cityname
5196,Cangzhou,Cangzhou,cityname
5197,Anqing,Anqing,cityname
5198,Jinan,Jinan,cityname
5200,Tianjin,Tianjin,cityname
5201,Zibo,Zibo,cityname
5203,Nanjing Jinling,NanjingJinling,cityname
5203,Nanjing Jinling,Nanjing Jinling,cityname
5205,Mailiao,Mailiao,cityname
5207,Kaohsiung,Kaohsiung,cityname
5208,Dalin,Dalin,cityname
5209,Qingdao,Qingdao,cityname
5210,Bataan,Bataan,cityname
5211,Jinxi,Jinxi,cityname
5213,Tabangao,Tabangao,cityname
5214,Jinzhou,Jinzhou,cityname
5215,Taoyuan,Taoyuan,cityname
